data.bams..SRR1029151.alignments_sorted_subsampled.bam	data.bams..SRR1029152.alignments_sorted_subsampled.bam	data.bams..SRR1029153.alignments_sorted_subsampled.bam	data.bams..SRR1029156.alignments_sorted_subsampled.bam	data.bams..SRR1029157.alignments_sorted_subsampled.bam	data.bams..SRR1029158.alignments_sorted_subsampled.bam
YBR115C	102	134	96	49	52	82
YBR116C	0	1	0	2	3	4
YBR117C	8	5	13	97	113	138
YBR118W	23	14	14	26	21	25
YBR119W	27	19	22	23	20	43
YBR120C	20	31	25	11	11	6
YBR121C	97	106	66	56	84	85
YBR121C-A	0	0	0	0	0	0
YBR122C	28	33	34	12	9	16
YBR123C	19	31	17	11	17	23
YBR124W	0	0	0	0	0	0
YBR125C	23	31	25	27	26	33
YBR126C	46	64	62	101	93	111
YBR126W-A	1	1	1	1	3	3
YBR126W-B	0	0	1	1	0	2
YBR127C	90	86	101	90	95	115
YBR128C	8	3	7	9	20	16
YBR129C	33	29	18	23	17	30
YBR130C	18	20	18	12	7	10
YBR131W	10	11	5	8	9	18
YBR131C-A	0	0	0	0	0	0
YBR132C	18	24	31	25	24	33
YBR133C	39	51	39	18	23	41
YBR134W	0	0	0	1	0	0
YBR135W	14	12	17	15	14	17
YBR136W	24	21	16	25	28	25
YBR137W	15	17	21	21	18	34
YBR138C	14	21	10	37	14	31
YBR139W	35	43	40	63	66	87
YBR140C	71	75	53	95	77	106
YBR141C	4	7	2	4	10	10
YBR141W-A	0	0	0	0	0	0
YBR142W	27	37	16	14	18	18
YBR143C	60	65	65	50	53	65
YBR144C	0	0	0	0	0	0
YBR145W	25	33	29	16	17	22
YBR146W	47	72	66	37	20	29
YBR147W	18	23	40	30	29	38
YBR148W	8	7	5	14	6	27
YBR149W	54	63	59	90	85	94
YBR150C	43	47	26	39	29	44
YBR151W	51	55	34	39	39	52
YBR152W	11	6	10	4	7	8
YBR153W	16	19	14	16	11	11
YBR154C	25	22	21	17	12	26
YBR155W	13	20	10	10	14	19
YBR156C	13	21	20	9	2	11
YBR157C	15	16	18	39	42	39
YBR158W	34	52	33	76	91	88
YBR159W	49	50	44	38	41	59
YBR160W	30	28	28	24	18	43
YBR161W	12	18	7	7	19	22
YBR162C	91	126	105	77	63	94
YBR162W-A	9	13	14	8	9	14
YBR163W	24	33	19	11	21	17
YBR164C	23	18	20	16	17	32
YBR165W	20	16	21	16	12	23
YBR166C	35	32	27	29	25	32
YBR167C	9	14	11	16	10	18
YBR168W	14	21	19	47	30	29
